Symbol,T(degC),P(bar),gibbs_energy(J/mol),enthalpy(J/mol),entropy(J/K/mol),volume(J/bar),heat_capacity_cp(J/K/mol)
PO4-3,250,39.7620,-933925,-1432130,-584.436,-17.107,-1722.578
Pr(H2PO4)+2,250,39.7620,-1803748,-2008523,-92.627,-3.737,-176.182
Pr(SO4)+,250,39.7620,-1378053,-1598952,-165.663,-3.120,-274.352
Pr+3,250,39.7620,-622232,-755572,-324.520,-9.220,-508.938
PrCl+2,250,39.7620,-782729,-845866,-89.878,-6.023,55.588
PrCl2+,250,39.7620,-942587,-1028690,-32.970,-0.743,-141.237
PrCl3@,250,39.7620,-1057292,-1238207,-113.395,3.624,-163.040
PrF+2,250,39.7620,-963718,-1028388,-98.588,-7.357,-198.380
PrF2+,250,39.7620,-1272699,-1375914,-76.451,-5.282,-148.057
PrF3@,250,39.7620,-1549716,-1753043,-173.617,-3.276,-119.568
PrO+,250,39.7620,-814612,-885306,-71.809,0.021,-247.628
PrO2-,250,39.7620,-950330,-1080336,-52.228,-0.536,-587.264
PrO2H@,250,39.7620,-1019216,-1128736,-14.097,2.766,-311.966
PrOH+2,250,39.7620,-858826,-938879,-89.700,-1.902,-288.162
S2-2,250,39.7620,91448,-53331,-166.158,-5.779,-1007.206
S2O3-2,250,39.7620,-521121,-729246,-111.444,-4.116,-963.045
S2O4-2,250,39.7620,-606296,-824619,-72.148,-4.366,-927.702
S2O5-2,250,39.7620,-799924,-1040073,-55.531,-3.724,-914.895
S2O6-2,250,39.7620,-981094,-1237161,-27.702,-2.858,-892.349
S2O8-2,250,39.7620,-1161253,-1392436,136.426,2.294,-745.494
S3-2,250,39.7620,75408,-51315,-113.383,-4.533,-965.641
S3O6-2,250,39.7620,-976002,-1232112,-10.981,-2.595,-878.515
S4-2,250,39.7620,60709,-47960,-60.845,-3.282,-921.918
S4O6-2,250,39.7620,-1089570,-1272278,148.501,-0.011,-737.516
S5-2,250,39.7620,47289,-43383,-8.422,-2.028,-877.122
S5O6-2,250,39.7620,-983646,-1239211,28.063,-1.969,-845.675
SiF6-2,250,39.7620,-2212950,-2456879,-34.349,-2.650,-899.515
SiO2@,250,39.7620,-847551,-877612,70.169,0.781,45.887
Sm(H2PO4)+2,250,39.7620,-1785945,-1997289,-107.572,-3.760,-194.563
