XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,A,B,C,D,E,F,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen
SiC_CB,[CB],(C),298.15,2500,-71626.93139,16.6127008,-72999.19484,31.24,0.028949,-1055200,0,-1.3475E-05,2.171E-09,,,,,,,
SiCr,[],(C),298.15,1720,-71493.98515,45.35453169,-70998.64796,51.11,0.00942,-783900,0,0,0,SiCr, SiCr,,14.64976072,1.464976072,Materialsproject,
SiC,[],(G),298.15,6000,679830.57,226.0923014,734948.4895,27.92306519,0.016850183,-95382,0,-1.05266E-05,2.92524E-09,,,,,,,
Si2Cr,[],(C),298.15,1733,-98803.16822,55.65637388,-99998.09968,60.696,0.027886,-498700,0,0,0,Si2Cr, Si2Cr,,21.50125063,2.150125063,Materialsproject,
SiC2,[],(G),298.15,6000,569048.7864,247.7381274,626940.3022,37.31636047,0.041082751,17456,0,-2.66958E-05,6.36166E-09,,,,,,,
SiCr3,[],(C),298.15,2020,-137491.9181,86.80907703,-137997.2947,87.925,0.032264,-645800,0,0,0,SiCr3, SiCr3,,27.73767923,2.773767923,Materialsproject,
Si2C,[],(G),298.15,6000,488287.0056,246.4250465,544415.1847,41.77385712,0.038051819,-166708,0,-2.73379E-05,7.11124E-09,,,,,,,
FAYALITE,Fe2SiO4,(C),298.15,1700,-1392743.002,138.6254398,-1465987.014,152.72133,0.03915288,-2802610,0,0,0,FAYALITE, Fe2SiO4,,43.71170871,4.371170871,Webmineral,
SiC,[],(C),298.15,3103,-70510.66457,16.48769238,-71899.19726,32.049,0.02697,-1092000,0,-1.2161E-05,1.958E-09,,,,,,,
FeSi,[],(C),298.15,1693,-89248.50116,50.20105138,-80312.49386,44.84176,0.0179869,0,0,0,0,FeSi, FeSi,Naquit,13.5919717,1.35919717,Mindat,
SiC,[],(L),298.15,5600,-8608.467639,-4.026899991,-44007.1715,63,0,0,0,0,0,,,,,,,
Si2H6,[],(C),298.15,2000,94314.14583,274.203602,79897.3727,53.91887,0.1363658,-1033202,0,-4.47581E-05,0,Si2H6, Si2H6,,23,2.3,,
K2Si2O5,[],(C),298.15,1318,-2372691.573,190.5961649,-2504995.176,191.852,0.036585,-3716600,0,0,0,K2Si2O5, K2Si2O5,,86.60711623,8.660711623,Materialsproject,
K2SiO3,[],(C),298.15,1249,-1459204.197,146.0118172,-1542996.478,116.485,0.052007,-1281900,0,0,0,K2SiO3, K2SiO3,,63.9819334,6.39819334,Materialsproject,
DIOPSIDE,CaMgSi2O6,(L),298.15,3000,-3070274.922,8.464413093,-3221481.536,355.47134,0,0,0,0,0,,,,,,,
K2Si4O9,[],(C),298.15,1043,-4123964.907,265.6507512,-4314754.98,253.15516,0.15933047,0,0,0,0,K2Si4O9, K2Si4O9,,149.388837,14.9388837,Materialsproject,
MgSiO3,[],(C),298.15,1850,-1482886.991,67.50548804,-1548513.548,-74.302629,0.638558375,2806794,0,-0.000803676,3.69577E-07,MgSiO3, MgSiO3,Enstatit,62.64381372,6.264381372,Webmineral,Daten fÅr Mg2Si2O6
Mg2SiO4,[],(C),298.15,2173,-2087941.286,95.23003192,-2176378.199,136.57495,0.059937203,-3126792,0,-2.35718E-05,4.77986E-09,Mg2SiO4, Mg2SiO4,Forsterit,43.66052051,4.366052051,Webmineral,
KLINOENSTATIT]T,Mg2Si2O6,(C),298.15,1798,-2966343.012,135.7124285,-3097507.257,205.3853,0.03965484,-5253848,0,0,0,KLINOENSTATIT]T, Mg2Si2O6,Klinoenstatit,62.548965,6.2548965,Webmineral,
WOLLASTONITE,CaSiO3,(L),298.15,3000,-1525836.386,53.50142792,-1615752.631,150.588,0,0,0,0,0,,,,,,,
Mg2Si_1,[],(C),298.15,1375,-90221.47582,81.65066532,-77781.47658,89.18156,-0.032201571,-1501698,0,5.01694E-05,-1.81813E-08,Mg2Si, Mg2Si,,38.82594591,3.882594591,Materialsproject,
