formula,Al,C,Ca,Cl,Cr,Cu,Fe,H,K,Mg,Mn,Na,Ni,O,S,Si,Ti,Zr
Na2Fe5Si8O22(OH)2,0,0,0,0,0,0,5,2,0,0,0,2,0,24,0,8,0,0
Na2Mg3Al2Si8O22(OH)2,2,0,0,0,0,0,0,2,0,3,0,2,0,24,0,8,0,0
Na8Al6Si6O24Cl2,6,0,0,2,0,0,0,0,0,0,0,8,0,24,0,6,0,0
NaAl3Si3O10(OH)2,3,0,0,0,0,0,0,2,0,0,0,1,0,12,0,3,0,0
NaAlSi2O5(OH)2,1,0,0,0,0,0,0,2,0,0,0,1,0,7,0,2,0,0
NaAlSi2O6,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0
NaAlSi3O8,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0
NaAlSi3O8,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0
NaAlSiO4,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0
NaAlSiO4,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0
NaAlSiO4,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0
NaCa2Mg4Al3Si6O22(OH)2,3,0,2,0,0,0,0,2,0,4,0,1,0,24,0,6,0,0
NaCl,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NaCrSi2O6,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,2,0,0
NaFeSi2O6,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,2,0,0
NaMg3AlSi3O10(OH)2,1,0,0,0,0,0,0,2,0,3,0,1,0,12,0,3,0,0
NiO,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
SiO2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
SiO2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
SiO2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
SiO2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
SiO2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
TiO2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
ZrO2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
ZrSiO4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1
,287.5,13,108.5,4,7,3,130.875,350,20,201,28,27,1,2240.75,6,538,6,2
