group,abbreviation,symbol,formula,H,H_error,S,V,Cp
other_orthosilicates,ak,akermanite,Ca2MgSi2O7,-3865.63,0.94,212.5,9.254,216.20723503881
other_orthosilicates,geh,gehlenite,Ca2Al2SiO7,-3992.26,1.33,198.5,9.024,206.373948376809
other_orthosilicates,jgd,julgoldite,Ca4Fe6Si6O21(OH)7,-11809.63,8.5,830,31.08,871.728696645677
other_orthosilicates,merw,merwinite,Ca3MgSi2O8,-4545.87,1.36,253.1,9.847,252.660456148289
other_orthosilicates,mpm,pumpellyite,Ca4MgAl5Si6O21(OH)7,-14033.82,2.63,657,29.68,805.246213660726
other_orthosilicates,fpm,pumpellyite,Ca4FeAl5Si6O21(OH)7,-14386.75,2.41,629,29.55,799.167617872596
other_orthosilicates,rnk,rankinite,Ca3Si2O7,-3943.92,1.36,210,9.651,217.409338421894
other_orthosilicates,sph,sphene,CaTiSiO5,-2601.65,0.96,124,5.565,137.162071724428
other_orthosilicates,spu,spurrite,Ca5Si2CO11,-5847.08,2.23,332,14.697,343.623131605382
other_orthosilicates,ty,tilleyite,Ca5Si2C2O13,-6368.39,2.21,390,17.039,383.521271677593
other_orthosilicates,zrc,zircon,ZrSiO4,-2035.05,1.66,83.03,3.926,98.0823235550746
sorosilicates,cz,clinozoisite,Ca2Al3Si3O12(OH),-6895.42,1.31,301,13.63,344.138687557733
sorosilicates,ep,epidote(ordered),Ca2FeAl2Si3O12(OH),-6473.9,1.17,315,13.92,366.305006709105
sorosilicates,fep,Fe-epidote,Ca2Fe2AlSi3O12(OH),-6027.57,1.23,329,14.21,377.471325860476
sorosilicates,law,lawsonite,CaAl2Si2O6(OH)4,-4868.61,0.81,229,10.132,276.720300752097
sorosilicates,pmt,piemontite,Ca2MnAl2Si3O12(OH),-6543.04,2.7,340,13.82,353.967533295446
sorosilicates,zo,zoisite,Ca2Al3Si3O12(OH),-6896.21,1.31,298,13.575,350.783347155886
sorosilicates,vsv,vesuvianite,Ca19Mg2Al11Si18O69(OH)9,-42345.19,8.95,1890,85.2,2281.36419564721
Cyclosilicates,crd,cordierite,Mg2Al4Si5O18,-9163.48,1.51,404.1,23.322,452.731879128491
Cyclosilicates,fcrd,Fe-cordierite,Fe2Al4Si5O18,-8444.02,1.66,461,23.71,471.868626291102
Cyclosilicates,hcrd,hydrous-cordierite,Mg2Al4Si5O17(OH)2,-9449.32,1.52,475.6,23.322,514.139173638413
Cyclosilicates,mncrd,Mn-cordierite,Mn2Al4Si5O18,-8693.64,3.6,473,24.027,463.29336850602
Cyclosilicates,fosm,Fe-osumilite,KFe2Al5Si10O30,-14238.91,3.99,762,38.32,755.305157567495
Cyclosilicates,osm1,osumilite,KMg2Al5Si10O30,-14959.21,3.83,701,37.893,743.18137528079
Cyclosilicates,osm2,osumilite,KMg3Al3Si11O30,-14799.99,4.05,724,38.44,747.043133506775
high_p_phases,fak,Fe-akimotoite,FeSiO3,-1142.14,10.12,91.5,2.76,79.4833655621348
