XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,Cp,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen,Table4.XNAME,Table4.SOURCE,Table4.ENTAL,Table4.FIRST,Table4.LAST,Table4.INTERV,Table4.G0,Table4.LT1,Table4.UT1,Table4.A1,Table4.B1,Table4.C1,Table4.D1,Table4.E1,Table4.F1,Table4.LT2,Table4.UT2,Table4.A2,Table4.B2,Table4.C2,Table4.D2,Table4.E2,Table4.F2,Table4.LT3,Table4.UT3,Table4.A3,Table4.B3,Table4.C3,Table4.D3,Table4.E3,Table4.F3,Table4.LT4,Table4.UT4,Table4.A4,Table4.B4,Table4.C4,Table4.D4,Table4.E4,Table4.F4,Table4.LT5,Table4.UT5,Table4.A5,Table4.B5,Table4.C5,Table4.D5,Table4.E5,Table4.F5,Table4.LT6,Table4.UT6,Table4.A6,Table4.B6,Table4.C6,Table4.D6,Table4.E6,Table4.F6
DIOPSIDE,CaMgSi2O6,(C),298.15,1665,-3070764.448,143.0743064,-3201663.317,156.0955997,DIOPSIDE, CaMgSi2O6,Diopsid,66.36399118,6.636399118,Webmineral,,DIOPSIDE,Kub,-3201.668,298.15,1665,1,-3070764.448,298.15,1665,185.97618,0.12373314,-5588488,0,-4.39215E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTISELLITE,CaMgSiO4,(C),298.15,1763,-2175542.039,110.4435896,-2261326.308,123.1895616,MONTISELLITE, CaMgSiO4,Monticellit,51.1641079,5.11641079,Webmineral,,MONTISELLITE,Kub,-2261.33,298.15,1763,1,-2175542.039,298.15,1763,150.588,0.03199995,-3283654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SiBe2O4,[],(C),298.15,1833,-2053933.675,64.42760325,-2143785.196,93.45135755,,,,,,,,SiBe2O4,Kub,-2143.788,298.15,1833,1,-2053933.675,298.15,1833,124.02595,0.07851491,-4534372,0,-3.3464E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKERMANITE,Ca2MgSi2O7,(C),298.15,1727,-3730197.024,209.1713271,-3874288.641,211.960023,AKERMANITE, Ca2MgSi2O7,Akermanit,92.72290128,9.272290128,Webmineral,,AKERMANITE,Kub,-3874.295,298.15,1727,1,-3730197.024,298.15,1727,251.90026,0.04722607,-4802084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SiBr3,[],(G),298.15,6000,-279563.6979,351.2123955,-225998.7796,75.22580411,,,,,,,,SiBr3,461,-243.461,298.15,6000,2,-279563.6979,298.15,1500,80.05488586,0.006619464,-567158,0,-5.16553E-06,1.38506E-09,1500,6000,83.13435364,5.06157E-06,-827252,0,-9.67284E-10,6.46268E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SiBr4,[],(G),298.15,6000,-462442.159,379.259898,-415798.7148,96.99633012,,,,,,,,SiBr4,462,-438.113,298.15,6000,2,-462442.159,298.15,1500,102.7340393,0.011418773,-748086,0,-8.88336E-06,2.37681E-09,1500,6000,108.0730896,6.60412E-06,-1208044,0,-1.10188E-09,6.3273E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSEDOWOLLAST.].,CaSiO3,(C),298.15,1817,-1565091.649,87.43340487,-1626766.403,86.45751713,PSEDOWOLLAST.]., CaSiO3,Pseudowollastonit,119.857162,11.9857162,Webmineral,,PSEDOWOLLAST.].,Kub,-1626.769,298.15,1817,1,-1565091.649,298.15,1817,108.13055,0.01648102,-2363396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SiBr,[],(G),298.15,6000,124312.0937,247.1836795,175149.7986,38.72001893,,,,,,,,SiBr,459,165.113,298.15,6000,2,124312.0937,298.15,1500,43.24151611,-0.011085858,-171946,0,8.74413E-06,-2.23556E-09,1500,6000,48.3826828,-0.008205663,-5466938,0,2.52917E-06,-2.04881E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RANKINITE,Ca3Si2O7,(C),298.15,2343,-3793602.321,210.8446929,-3939124.592,213.6072231,RANKINITE, Ca3Si2O7,Rankinit,95.78967646,9.578967646,Webmineral,,RANKINITE,Kub,-3939.131,298.15,2343,1,-3793602.321,298.15,2343,257.29633,0.05580122,-5362606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SiBr2,[],(G),298.15,6000,-105245.1476,304.6086746,-50999.10169,53.58334382,,,,,,,,SiBr2,460,-64.317,298.15,6000,2,-105245.1476,298.15,1500,56.50170898,0.003648978,-335404,0,-2.85163E-06,7.65385E-10,1500,6000,58.19778442,1.2919E-06,-478856,0,-1.8796E-10,9.09204E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca2SiO4_GAMMA,[GAMMA],(C),298.15,1100,-2230984.654,120.4831585,-2315705.196,126.8012627,Ca2SiO4_GAMMA, Ca2SiO4_GAMMA,Calcio-Olivin,58.26120078,5.826120078,Mineralienatlas,,Ca2SiO4_GAMMA,Kub,-2315.709,298.15,1100,1,-2230984.654,298.15,1100,133.27038,0.05153456,-1940912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SiC_CB,[CB],(C),298.15,2500,-71626.93139,16.6127008,-72999.19484,26.86045017,,,,,,,,SiC_CB,1532,-76.272,298.15,2500,1,-71626.93139,298.15,2500,31.24,0.028949,-1055200,0,-1.3475E-05,2.171E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca3SiO5,[],(C),298.15,1800,-2822726.43,168.5921628,-2926002.851,171.5108752,Ca3SiO5, Ca3SiO5,Hatrurit,75.72039054,7.572039054,Webmineral,,Ca3SiO5,Kub,-2926.008,298.15,1800,1,-2822726.43,298.15,1800,208.52255,0.03605746,-4245746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
